feature_class	regions	bp
CDS	68295	15182650
exon_noncoding	0	0
intron	26669	6905274
intergenic	153497	40403473

gene_id	gene_name	bp	gene_len	bp_per_kb
gene-PYCJOC_R10470	Mad1l1	24616	257212	95.70
gene-PYCJOC_R07329	Megf11	24559	188067	130.59
gene-PYCJOC_R09410	Celf2	24226	125499	193.04
gene-PYCJOC_R05834	Pcca	23947	185867	128.84
gene-PYCJOC_R06413	Cdk14	23921	166767	143.44
gene-PYCJOC_R12376	Dync1i1	23508	166189	141.45
gene-PYCJOC_R04921	Ldb2	23366	207412	112.66
gene-PYCJOC_R11162	Ebf1	23269	96081	242.18
gene-PYCJOC_R12577	Dst	22795	112263	203.05
gene-PYCJOC_R13827	Sema5b	22673	128428	176.54
gene-PYCJOC_R13959	Reln	22294	218615	101.98
gene-PYCJOC_R08143	Tox	22007	102195	215.34
gene-PYCJOC_R02138	Dlg2	21828	587588	37.15
gene-PYCJOC_R05812	Foxp2	21710	91384	237.57
gene-PYCJOC_R14470	Npas3_1	21100	96308	219.09

# xep theo mat do; loc gene_len >= 1000 bp va bp >= 200
gene_id	gene_name	bp	gene_len	bp_per_kb
gene-PYCJOC_R10096	Gpr19_1	2967	1104	2687.50
gene-PYCJOC_R11933	Dolk	3907	1554	2514.16
gene-PYCJOC_R15256	Nipbl_5	2717	1096	2479.01
gene-PYCJOC_R04449	Hoxa5	4845	1957	2475.73
gene-PYCJOC_R04452	Hoxa11	5586	2401	2326.53
gene-PYCJOC_R01168	Rbm12	5822	2637	2207.81
gene-PYCJOC_R04448	Hoxa3	5806	2733	2124.41
gene-PYCJOC_R07039	Gpr173	2251	1140	1974.56
gene-PYCJOC_R04450	Hoxa6	3849	2080	1850.48
gene-PYCJOC_R08403	Arhgap5_1	3819	2076	1839.60
gene-PYCJOC_R11125	Gpr85	2007	1110	1808.11
gene-PYCJOC_R05407	Lrrtm2	2720	1548	1757.11
gene-PYCJOC_R08507	Slitrk4	3387	1995	1697.74
gene-PYCJOC_R07929	Fam110b	1866	1110	1681.08
gene-PYCJOC_R03107	Kcnj12	1659	1026	1616.96
gene-PYCJOC_R02847	Nfil3_0	2177	1371	1587.89
gene-PYCJOC_R06945	Prss23	1767	1116	1583.33
gene-PYCJOC_R04447	PYCJOC_R04447	2786	1802	1546.06
gene-PYCJOC_R14669	Tlnrd1	1617	1065	1518.31
gene-PYCJOC_R08516	Rtn4rl1	2057	1374	1497.09
gene-PYCJOC_R03811	Srsf1	1545	1042	1482.73
gene-PYCJOC_R11234	Fign_0	3239	2256	1435.73
gene-PYCJOC_R14714	Cxcr4	1502	1047	1434.57
gene-PYCJOC_R12796	Lrrtm1	2219	1563	1419.71
gene-PYCJOC_R06078	Gpr21	1470	1044	1408.05
gene-PYCJOC_R08637	PYCJOC_R08637	2338	1667	1402.52
gene-PYCJOC_R09028	Gjc1_2	1640	1170	1401.71
gene-PYCJOC_R01060	Ankrd11_0	6027	4339	1389.03
gene-PYCJOC_R04127	Flrt3	2695	1947	1384.18
gene-PYCJOC_R00825	Prlhr_1	1442	1056	1365.53
gene-PYCJOC_R03002	Socs6	2186	1602	1364.54
gene-PYCJOC_R08300	Zbtb18	2135	1566	1363.35
gene-PYCJOC_R04377	Tmem200c	2226	1638	1358.97
gene-PYCJOC_R11241	Flrt2	2676	1983	1349.47
gene-PYCJOC_R00888	Act5	1497	1113	1345.01
gene-PYCJOC_R02722	Lrrtm3	1955	1464	1335.38
gene-PYCJOC_R00348	Abhd13	1326	1011	1311.57
gene-PYCJOC_R07414	Gja8	1567	1197	1309.11
gene-PYCJOC_R04843	Purg	1314	1008	1303.57
gene-PYCJOC_R12760	Tshz3	4140	3204	1292.13
gene-PYCJOC_R00182	Zbtb26	1711	1329	1287.43
gene-PYCJOC_R07348	Hoxd4	1435	1115	1287.00
gene-PYCJOC_R12055	Atxn1l	2649	2064	1283.43
gene-PYCJOC_R09985	S1pr1	1455	1137	1279.68
gene-PYCJOC_R08273	Lingo2	2362	1848	1278.14
gene-PYCJOC_R03634	Zbtb14	1711	1341	1275.91
gene-PYCJOC_R13794	Gdf5	3895	3054	1275.38
gene-PYCJOC_R06770	Btg1_0	2021	1588	1272.67
gene-PYCJOC_R05152	Plag1	2656	2093	1268.99
gene-PYCJOC_R08515	Evx1	4370	3452	1265.93
