feature_class	regions	bp
CDS	90162	18231781
exon_noncoding	0	0
intron	51153	10862455
intergenic	269960	59321471

gene_id	gene_name	bp	gene_len	bp_per_kb
gene-PYCJOC_R09410	Celf2	32807	125499	261.41
gene-PYCJOC_R02189	Sema3a	31827	162490	195.87
gene-PYCJOC_R01153	Pdzrn4	31813	231544	137.40
gene-PYCJOC_R12376	Dync1i1	31626	166189	190.30
gene-PYCJOC_R13160	Eri3	31120	119642	260.11
gene-PYCJOC_R08674	Ehbp1	31087	189898	163.70
gene-PYCJOC_R05834	Pcca	31051	185867	167.06
gene-PYCJOC_R06413	Cdk14	30995	166767	185.86
gene-PYCJOC_R06504	Satb2	30323	126643	239.44
gene-PYCJOC_R07128	Kcnma1	29541	172629	171.12
gene-PYCJOC_R02279	Tenm1	29533	164330	179.72
gene-PYCJOC_R07352	Ntrk3	29503	203849	144.73
gene-PYCJOC_R11162	Ebf1	29368	96081	305.66

# xep theo mat do; loc gene_len >= 1000 bp va bp >= 200
gene_id	gene_name	bp	gene_len	bp_per_kb
gene-PYCJOC_R10096	Gpr19_1	2967	1104	2687.50
gene-PYCJOC_R04451	Hoxa7	4269	1692	2523.05
gene-PYCJOC_R11933	Dolk	3907	1554	2514.16
gene-PYCJOC_R15256	Nipbl_5	2717	1096	2479.01
gene-PYCJOC_R04449	Hoxa5	4845	1957	2475.73
gene-PYCJOC_R04452	Hoxa11	5586	2401	2326.53
gene-PYCJOC_R04444	Hoxa10_0	5631	2534	2222.18
gene-PYCJOC_R01168	Rbm12	5822	2637	2207.81
gene-PYCJOC_R04448	Hoxa3	5806	2733	2124.41
gene-PYCJOC_R04450	Hoxa6	4152	2080	1996.15
gene-PYCJOC_R07039	Gpr173	2251	1140	1974.56
gene-PYCJOC_R04040	Myorg	2989	1539	1942.17
gene-PYCJOC_R08403	Arhgap5_1	3819	2076	1839.60
gene-PYCJOC_R11125	Gpr85	2007	1110	1808.11
gene-PYCJOC_R02099	Sik3_0	22597	12573	1797.26
gene-PYCJOC_R05407	Lrrtm2	2720	1548	1757.11
gene-PYCJOC_R08507	Slitrk4	3387	1995	1697.74
gene-PYCJOC_R07929	Fam110b	1866	1110	1681.08
gene-PYCJOC_R08637	PYCJOC_R08637	2737	1667	1641.87
gene-PYCJOC_R03107	Kcnj12	1659	1026	1616.96
gene-PYCJOC_R02847	Nfil3_0	2177	1371	1587.89
gene-PYCJOC_R06945	Prss23	1767	1116	1583.33
gene-PYCJOC_R04447	PYCJOC_R04447	2786	1802	1546.06
gene-PYCJOC_R14669	Tlnrd1	1617	1065	1518.31
gene-PYCJOC_R01060	Ankrd11_0	6553	4339	1510.26
gene-PYCJOC_R08516	Rtn4rl1	2057	1374	1497.09
gene-PYCJOC_R03811	Srsf1	1545	1042	1482.73
gene-PYCJOC_R11234	Fign_0	3239	2256	1435.73
gene-PYCJOC_R01397	Patk	5891	4104	1435.43
gene-PYCJOC_R14714	Cxcr4	1502	1047	1434.57
gene-PYCJOC_R12796	Lrrtm1	2219	1563	1419.71
gene-PYCJOC_R06078	Gpr21	1470	1044	1408.05
gene-PYCJOC_R00888	Act5	1567	1113	1407.91
gene-PYCJOC_R09028	Gjc1_2	1640	1170	1401.71
gene-PYCJOC_R00767	PYCJOC_R00767	2526	1814	1392.50
gene-PYCJOC_R04127	Flrt3	2695	1947	1384.18
gene-PYCJOC_R00825	Prlhr_1	1442	1056	1365.53
gene-PYCJOC_R04445	Hoxa9	2212	1620	1365.43
gene-PYCJOC_R03002	Socs6	2186	1602	1364.54
gene-PYCJOC_R08300	Zbtb18	2135	1566	1363.35
gene-PYCJOC_R04377	Tmem200c	2226	1638	1358.97
gene-PYCJOC_R11241	Flrt2	2676	1983	1349.47
gene-PYCJOC_R12148	Chst12	1683	1248	1348.56
gene-PYCJOC_R02722	Lrrtm3	1955	1464	1335.38
gene-PYCJOC_R08515	Evx1	4558	3452	1320.39
gene-PYCJOC_R00348	Abhd13	1326	1011	1311.57
gene-PYCJOC_R07414	Gja8	1567	1197	1309.11
gene-PYCJOC_R04843	Purg	1314	1008	1303.57
gene-PYCJOC_R12760	Tshz3	4140	3204	1292.13
gene-PYCJOC_R00182	Zbtb26	1711	1329	1287.43
