seq_id	gene	len	gc	gc3	z_gc	z_gc3	codon_dist	kmer_js	n_flags
lcl|VWYP01016255.1_cds_PYCJOC_R05447_6846		609	0.509868	0.490099	-0.16286	-0.694076	18.8527	0.56171	2
lcl|VWYP01011059.1_cds_PYCJOC_R12893_4689		471	0.569002	0.585987	0.562898	-0.131618	19.6363	0.549139	2
lcl|VWYP01013592.1_cds_PYCJOC_R06826_5702		666	0.653153	0.445946	1.59569	-0.953068	27.091	0.542761	2
lcl|VWYP01014474.1_cds_PYCJOC_R12530_6111		330	0.542424	0.536364	0.236703	-0.422695	20.3523	0.521759	2
lcl|VWYP01001293.1_cds_PYCJOC_R01260_489		312	0.599359	0.673077	0.935472	0.379233	25.4271	0.519878	2
lcl|VWYP01023186.1_cds_PYCJOC_R11204_9989		591	0.548223	0.538071	0.307875	-0.412683	20.8277	0.510524	2
lcl|VWYP01019185.1_cds_PYCJOC_R14583_8336		303	0.574257	0.465347	0.627393	-0.839266	18.5594	0.486418	2
lcl|VWYP01028690.1_cds_PYCJOC_R01249_12469		348	0.511494	0.525862	-0.142904	-0.484298	26.1099	0.456843	2
lcl|VWYP01025895.1_cds_NXR80941.1_11233	Nefm_1	381	0.769029	0.937008	3.01785	1.92739	18.3805	0.430371	2
lcl|VWYP01033587.1_cds_PYCJOC_R15325_14704		345	0.385507	0.443478	-1.68916	-0.967544	18.6883	0.415198	2
lcl|VWYP01028306.1_cds_NXR81928.1_12346	Irx3	312	0.740385	0.855769	2.6663	1.45086	21.7998	0.413284	2
lcl|VWYP01026233.1_cds_PYCJOC_R08788_11287		300	0.68	0.64	1.92519	0.185211	20.642	0.376937	2
lcl|VWYP01007022.1_cds_NXR73367.1_2780	Qrich2_0	447	0.510067	0.52349	-0.160418	-0.498212	17.5417	0.511718	1
lcl|VWYP01012898.1_cds_PYCJOC_R02397_5411		642	0.572543	0.553991	0.606357	-0.319299	17.9188	0.493706	1
lcl|VWYP01001689.1_cds_PYCJOC_R14322_699		687	0.586608	0.606987	0.778978	-0.00843639	17.3316	0.476893	1
lcl|VWYP01018984.1_cds_NXR78185.1_8141	Nipblb	558	0.430108	0.553763	-1.14176	-0.320637	16.1557	0.417056	1
lcl|VWYP01033469.1_cds_PYCJOC_R01114_14562		597	0.554439	0.527638	0.384164	-0.47388	17.8046	0.412001	1
lcl|VWYP01015592.1_cds_PYCJOC_R09103_6572		384	0.567708	0.539062	0.547016	-0.40687	13.6853	0.411373	1
lcl|VWYP01019665.1_cds_NXR78539.1_8539	Upf2	327	0.366972	0.376147	-1.91664	-1.36249	15.24	0.40346	1
lcl|VWYP01001884.1_cds_PYCJOC_R14628_773		318	0.556604	0.462264	0.410736	-0.85735	16.5118	0.395668	1
lcl|VWYP01037552.1_cds_NXR84624.1_15338	Gemin7_1	369	0.693767	0.788618	2.09415	1.05697	12.8351	0.380762	1
lcl|VWYP01029124.1_cds_PYCJOC_R15524_12649		387	0.77261	0.883721	3.0618	1.61482	16.7316	0.378349	1
lcl|VWYP01004253.1_cds_PYCJOC_R14870_1766		348	0.761494	0.887931	2.92537	1.63952	15.6669	0.376708	1
lcl|VWYP01034806.1_cds_PYCJOC_R14598_15171		303	0.584158	0.524752	0.748909	-0.490809	17.0063	0.371941	1
lcl|VWYP01019184.1_cds_NXR78362.1_8335	Znf675_2	327	0.715596	0.972477	2.36206	2.13545	14.1483	0.370791	1
lcl|VWYP01022842.1_cds_PYCJOC_R05933_9773		300	0.673333	0.64	1.84336	0.185211	19.396	0.365737	1
lcl|VWYP01022842.1_cds_PYCJOC_R05934_9782		300	0.673333	0.64	1.84336	0.185211	20.3703	0.349925	1
lcl|VWYP01013758.1_cds_PYCJOC_R13145_5714		501	0.600798	0.431138	0.953133	-1.03993	24.4834	0.348493	1
lcl|VWYP01018435.1_cds_PYCJOC_R14230_7955		723	0.713693	0.709544	2.33871	0.593141	20.606	0.348369	1
lcl|VWYP01004291.1_cds_NXR72512.1_1789	Vkorc1l1_0	459	0.740741	0.960784	2.67067	2.06686	18.8952	0.340728	1
lcl|VWYP01014838.1_cds_PYCJOC_R15705_6251		453	0.437086	0.423841	-1.05612	-1.08273	20.2677	0.294488	1
lcl|VWYP01021167.1_cds_PYCJOC_R15647_9166		300	0.39	0.41	-1.63401	-1.16392	31.3958	0.282323	1
lcl|VWYP01023820.1_cds_PYCJOC_R15652_10251		303	0.376238	0.39604	-1.80292	-1.24581	31.1166	0.256685	1
lcl|VWYP01034989.1_cds_PYCJOC_R14983_15218		378	0.415344	0.365079	-1.32296	-1.42742	25.5863	0.247974	1
lcl|VWYP01007840.1_cds_PYCJOC_R08131_3244		318	0.509434	0.707547	-0.168187	0.581427	29.012	0.247177	1
lcl|VWYP01024541.1_cds_NXR80376.1_10610	Col23a1	540	0.611111	0.405556	1.07971	-1.18999	18.532	0.241341	1
lcl|VWYP01014623.1_cds_PYCJOC_R14993_6210		396	0.689394	0.818182	2.04048	1.23039	24.5044	0.240001	1
lcl|VWYP01019815.1_cds_PYCJOC_R01483_8585		336	0.585075	0.792793	0.760163	1.08146	28.7903	0.239672	1
lcl|VWYP01023744.1_cds_PYCJOC_R08046_10186		372	0.604839	0.758065	1.00273	0.877754	25.4288	0.238974	1
lcl|VWYP01035834.1_cds_PYCJOC_R14876_15288		327	0.452599	0.422018	-0.865729	-1.09342	28.755	0.238197	1
lcl|VWYP01030543.1_cds_PYCJOC_R15552_13348		435	0.558621	0.724138	0.43549	0.678746	19.7979	0.236345	1
lcl|VWYP01006573.1_cds_PYCJOC_R00014_2652		318	0.578616	0.811321	0.680891	1.19014	24.1178	0.233852	1
lcl|VWYP01021650.1_cds_PYCJOC_R15355_9418		450	0.377778	0.286667	-1.78401	-1.88736	19.2191	0.233454	1
lcl|VWYP01019164.1_cds_PYCJOC_R14883_8328		429	0.398601	0.314685	-1.52845	-1.72302	19.3655	0.23129	1
lcl|VWYP01027230.1_cds_PYCJOC_R00502_11868		306	0.571895	0.558824	0.598404	-0.29095	29.9212	0.23121	1
lcl|VWYP01002311.1_cds_NXR71726.1_922	Rsrp1	702	0.685185	0.811966	1.98882	1.19393	18.553	0.231205	1
lcl|VWYP01005751.1_cds_PYCJOC_R15764_2429		504	0.380952	0.357143	-1.74506	-1.47397	20.2071	0.229068	1
lcl|VWYP01014376.1_cds_PYCJOC_R01382_6051		306	0.441176	0.558824	-1.00592	-0.29095	29.4336	0.22853	1
lcl|VWYP01024719.1_cds_PYCJOC_R09016_10724		324	0.481481	0.435185	-0.511257	-1.01619	23.4507	0.225952	1
lcl|VWYP01034148.1_cds_PYCJOC_R15732_14870		474	0.381857	0.322785	-1.73395	-1.6755	21.1064	0.225289	1
lcl|VWYP01004763.1_cds_PYCJOC_R11274_2045		303	0.419142	0.455446	-1.27635	-0.897343	30.4956	0.223438	1
lcl|VWYP01059798.1_cds_PYCJOC_R14943_15434		300	0.41	0.37	-1.38855	-1.39855	29.802	0.222779	1
lcl|VWYP01002724.1_cds_PYCJOC_R10082_1100		414	0.39372	0.282609	-1.58836	-1.91117	21.5267	0.222282	1
lcl|VWYP01033508.1_cds_PYCJOC_R04327_14599		441	0.378685	0.360544	-1.77288	-1.45402	22.1571	0.216804	1
lcl|VWYP01003763.1_cds_PYCJOC_R14986_1483		327	0.486239	0.504587	-0.452861	-0.609092	22.5993	0.215935	1
lcl|VWYP01024541.1_cds_NXR80389.1_10612	Clk4_1	369	0.463415	0.520325	-0.732983	-0.516777	18.2604	0.214794	1
lcl|VWYP01031342.1_cds_PYCJOC_R08627_13633		543	0.376384	0.305556	-1.80112	-1.77656	19.5548	0.212887	1
lcl|VWYP01026511.1_cds_PYCJOC_R15773_11476		417	0.393285	0.338129	-1.5937	-1.5855	24.1727	0.210281	1
lcl|VWYP01011980.1_cds_PYCJOC_R12927_5013		468	0.378205	0.346154	-1.77877	-1.53843	22.4922	0.209492	1
lcl|VWYP01035792.1_cds_PYCJOC_R15186_15286		333	0.459459	0.45045	-0.781535	-0.926648	26.7494	0.20816	1
lcl|VWYP01001573.1_cds_PYCJOC_R15012_636		408	0.517157	0.558824	-0.0734015	-0.29095	23.4314	0.207727	1
lcl|VWYP01022580.1_cds_PYCJOC_R15288_9733		399	0.418546	0.353383	-1.28366	-1.49602	20.8451	0.206722	1
lcl|VWYP01007802.1_cds_PYCJOC_R15265_3200		408	0.477941	0.529412	-0.554704	-0.463474	23.1671	0.20572	1
lcl|VWYP01008228.1_cds_PYCJOC_R08263_3359		381	0.472441	0.448819	-0.622206	-0.936215	24.5569	0.204002	1
lcl|VWYP01006064.1_cds_PYCJOC_R05762_2518		435	0.393103	0.4	-1.59593	-1.22258	20.6655	0.202606	1
lcl|VWYP01019660.1_cds_PYCJOC_R01577_8525		360	0.472222	0.475	-0.624893	-0.782643	22.731	0.201762	1
lcl|VWYP01023548.1_cds_PYCJOC_R15656_10116		366	0.497268	0.409836	-0.317501	-1.16488	20.497	0.199388	1
lcl|VWYP01009548.1_cds_NXR74391.1_3945	Gar1	567	0.507937	0.354497	-0.18656	-1.48949	18.5453	0.197265	1
lcl|VWYP01018580.1_cds_PYCJOC_R05074_8022		327	0.519878	0.513761	-0.0400064	-0.55528	22.58	0.196945	1
lcl|VWYP01013109.1_cds_PYCJOC_R12135_5480		411	0.418491	0.481752	-1.28434	-0.743038	33.3134	0.196337	1
lcl|VWYP01035970.1_cds_PYCJOC_R14924_15293		336	0.488095	0.464286	-0.430082	-0.845489	21.1446	0.189604	1
lcl|VWYP01017012.1_cds_PYCJOC_R00616_7272		546	0.368132	0.302198	-1.9024	-1.79626	19.3156	0.188579	1
lcl|VWYP01026675.1_cds_PYCJOC_R14404_11552		435	0.432184	0.462069	-1.11628	-0.858494	21.2081	0.186488	1
lcl|VWYP01021262.1_cds_PYCJOC_R15763_9313		603	0.381426	0.338308	-1.73924	-1.58445	19.4792	0.179271	1
lcl|VWYP01018637.1_cds_PYCJOC_R03013_8078		453	0.571744	0.503311	0.59655	-0.616577	22.2902	0.177044	1
lcl|VWYP01027977.1_cds_PYCJOC_R15120_12205		375	0.464	0.424	-0.725803	-1.0818	19.527	0.175159	1
lcl|VWYP01020552.1_cds_PYCJOC_R03066_8836		435	0.462069	0.448276	-0.749502	-0.9394	22.0086	0.174194	1
lcl|VWYP01024744.1_cds_PYCJOC_R08013_10782		492	0.404472	0.47561	-1.4564	-0.779065	20.6183	0.174128	1
lcl|VWYP01004625.1_cds_PYCJOC_R05769_1972		426	0.443662	0.34507	-0.975413	-1.54478	18.9905	0.170821	1
lcl|VWYP01022827.1_cds_PYCJOC_R15762_9754		456	0.440789	0.407895	-1.01067	-1.17627	20.6867	0.167416	1
lcl|VWYP01005952.1_cds_PYCJOC_R04165_2457		549	0.406193	0.371585	-1.43527	-1.38925	18.9405	0.164699	1
lcl|VWYP01009425.1_cds_PYCJOC_R11294_3928		516	0.399225	0.331395	-1.52079	-1.625	20.0268	0.16436	1
lcl|VWYP01022126.1_cds_PYCJOC_R02904_9561		516	0.406977	0.337209	-1.42565	-1.5909	20.3436	0.160655	1
lcl|VWYP01015610.1_cds_PYCJOC_R15588_6589		492	0.489837	0.518293	-0.408703	-0.528696	19.6909	0.158033	1
lcl|VWYP01011426.1_cds_PYCJOC_R14858_4780		537	0.402235	0.363128	-1.48385	-1.43886	19.0014	0.157957	1
lcl|VWYP01009355.1_cds_PYCJOC_R13165_3883		381	0.509186	0.574803	-0.17123	-0.197221	24.8615	0.157667	1
lcl|VWYP01022859.1_cds_PYCJOC_R14881_9796		450	0.526667	0.62	0.0433157	0.067895	25.5177	0.157492	1
lcl|VWYP01025454.1_cds_PYCJOC_R11073_11066		543	0.399632	0.441989	-1.5158	-0.976279	18.2628	0.153677	1
lcl|VWYP01016114.1_cds_PYCJOC_R01337_6826		420	0.530952	0.614286	0.0959059	0.0343779	22.1374	0.152069	1
lcl|VWYP01005099.1_cds_PYCJOC_R15427_2151		321	0.507788	0.607477	-0.188388	-0.00556216	22.3094	0.151603	1
lcl|VWYP01010905.1_cds_PYCJOC_R09426_4562		414	0.475845	0.492754	-0.580428	-0.678502	30.2583	0.151103	1
lcl|VWYP01011700.1_cds_NXR75220.1_4858	Col4a1_0	1461	0.534565	0.256674	0.140249	-2.0633	19.1904	0.149861	1
lcl|VWYP01003349.1_cds_PYCJOC_R12305_1346		513	0.594542	0.666667	0.876353	0.341633	18.2329	0.138276	1
lcl|VWYP01028699.1_cds_PYCJOC_R08224_12474		495	0.581818	0.830303	0.72019	1.30149	19.0883	0.133787	1
lcl|VWYP01025211.1_cds_PYCJOC_R10774_10967		498	0.524096	0.644578	0.0117615	0.212064	23.1011	0.128699	1
lcl|VWYP01025433.1_cds_PYCJOC_R00314_11030		588	0.566327	0.55102	0.530067	-0.336727	19.1391	0.126709	1
lcl|VWYP01008521.1_cds_PYCJOC_R15546_3464		825	0.402424	0.352727	-1.48153	-1.49987	19.2638	0.123607	1
lcl|VWYP01016930.1_cds_PYCJOC_R15756_7220		747	0.406961	0.341365	-1.42585	-1.56652	19.7206	0.115282	1
lcl|VWYP01024695.1_cds_NXR80463.1_10697	Col1a2	4098	0.577111	0.292826	0.66242	-1.85124	23.0129	0.111847	1
lcl|VWYP01000380.1_cds_PYCJOC_R07244_146		888	0.438063	0.415541	-1.04413	-1.13142	22.1236	0.103749	1
lcl|VWYP01000370.1_cds_PYCJOC_R04154_139		675	0.502222	0.648889	-0.2567	0.237352	19.7341	0.0913238	1
lcl|VWYP01040310.1_cds_NXR84656.1_15379	Ddb_2	303	0.594059	0.712871	0.870425	0.612656	15.5219	0.366987	0
lcl|VWYP01025133.1_cds_NXR80622.1_10874	Trim39_1	330	0.733333	0.854545	2.57975	1.44368	13.2588	0.366542	0
lcl|VWYP01007360.1_cds_NXR73545.1_2956	Il17rc_1	339	0.755162	0.787611	2.84766	1.05106	13.4229	0.36583	0
lcl|VWYP01029472.1_cds_PYCJOC_R14584_12808		306	0.53268	0.431373	0.117114	-1.03855	16.732	0.363812	0
lcl|VWYP01019003.1_cds_NXR78224.1_8199	Id1	375	0.739946	0.813008	2.66091	1.20004	14.2845	0.363375	0
lcl|VWYP01002935.1_cds_NXR71924.1_1146	Flrt1	540	0.783333	0.811111	3.1934	1.18891	14.8896	0.361268	0
lcl|VWYP01013075.1_cds_NXR75767.1_5446	Ethe1	300	0.716667	0.9	2.37521	1.71031	13.2756	0.358948	0
lcl|VWYP01014594.1_cds_PYCJOC_R15165_6205		399	0.73183	0.842105	2.5613	1.37071	17.8642	0.35781	0
lcl|VWYP01010267.1_cds_NXR74680.1_4261	Mki67_1	321	0.495327	0.570093	-0.341323	-0.224849	14.7311	0.351107	0
lcl|VWYP01013418.1_cds_NXR75889.1_5591	Slc35e4	423	0.723404	0.929078	2.45789	1.88088	13.3615	0.349688	0
lcl|VWYP01011037.1_cds_NXR75065.1_4678	Dmbt1_3	600	0.726667	0.775	2.49794	0.977091	12.6196	0.34647	0
lcl|VWYP01024268.1_cds_NXR80237.1_10454	Dnaaf3	447	0.758389	0.885906	2.88726	1.62764	12.8827	0.343668	0
lcl|VWYP01011627.1_cds_NXR75190.1_4821	Bkj_0	303	0.686469	0.811881	2.00458	1.19343	16.845	0.343327	0
lcl|VWYP01026233.1_cds_NXR80986.1_11286		309	0.679612	0.941748	1.92043	1.9552	15.5346	0.342364	0
lcl|VWYP01016779.1_cds_NXR77274.1_7119	B3galt4	306	0.722222	0.911765	2.44338	1.77932	11.9074	0.340058	0
lcl|VWYP01020563.1_cds_NXR78876.1_8921	Prr15	303	0.745875	0.920792	2.73368	1.83228	15.0347	0.339776	0
lcl|VWYP01027275.1_cds_NXR81558.1_11928	Znf574_0	321	0.697819	0.906542	2.14388	1.74869	16.5596	0.339754	0
lcl|VWYP01040201.1_cds_NXR84653.1_15376	Ephb4	318	0.732704	0.896226	2.57203	1.68818	14.1636	0.338918	0
lcl|VWYP01020955.1_cds_NXR79080.1_9141	Sptbn2	543	0.769797	0.966851	3.02728	2.10245	15.6513	0.338631	0
lcl|VWYP01022842.1_cds_NXR79643.1_9774		309	0.676375	0.932039	1.8807	1.89825	15.2227	0.338617	0
lcl|VWYP01033876.1_cds_NXR84182.1_14844	Znf3_10	312	0.644231	0.942308	1.48619	1.95848	15.4124	0.338195	0
lcl|VWYP01004510.1_cds_NXR72621.1_1914	Cs025	327	0.740061	0.954128	2.66232	2.02782	13.0883	0.337537	0
lcl|VWYP01022873.1_cds_NXR79694.1_9829	Dnaaf2_1	384	0.75	0.945312	2.7843	1.9761	15.8913	0.336089	0
lcl|VWYP01008923.1_cds_NXR74187.1_3705	Clec14a	351	0.760684	0.940171	2.91543	1.94595	12.5852	0.335747	0
lcl|VWYP01029279.1_cds_PYCJOC_R15501_12777		423	0.742317	0.87234	2.69001	1.54807	13.6591	0.335574	0
lcl|VWYP01017938.1_cds_NXR77742.1_7654	Znf347	417	0.558753	0.633094	0.43711	0.144702	13.1626	0.334802	0
lcl|VWYP01033843.1_cds_PYCJOC_R07579_14822		309	0.734628	0.805825	2.59564	1.1579	13.0327	0.334755	0
lcl|VWYP01018435.1_cds_PYCJOC_R15653_7956		567	0.723104	0.761905	2.45421	0.900279	14.879	0.334671	0
lcl|VWYP01030180.1_cds_NXR82672.1_13182	Gpaa1	378	0.701058	0.912698	2.18363	1.7848	13.1343	0.333687	0
lcl|VWYP01002200.1_cds_NXR71650.1_841	Krsc_0	318	0.694969	0.849057	2.1089	1.41149	12.473	0.332252	0
lcl|VWYP01026156.1_cds_NXR80968.1_11266	Znf282_1	324	0.669753	0.953704	1.79942	2.02533	14.5438	0.331691	0
lcl|VWYP01014091.1_cds_NXR76217.1_5953	Prf1	480	0.745833	0.86875	2.73316	1.52701	12.2072	0.331112	0
lcl|VWYP01003604.1_cds_NXR72214.1_1460	Krsc_1	390	0.65641	0.692308	1.63566	0.492038	16.7416	0.329723	0
lcl|VWYP01027898.1_cds_NXR81791.1_12196	Ccdc34	414	0.357488	0.362319	-2.03304	-1.44361	13.4639	0.327103	0
lcl|VWYP01000572.1_cds_NXR71130.1_243	Dkk1	333	0.732733	0.882883	2.57239	1.60991	13.415	0.326001	0
lcl|VWYP01022005.1_cds_NXR79400.1_9493	Cplane2	312	0.730769	0.932692	2.54828	1.90208	12.4614	0.325552	0
lcl|VWYP01033481.1_cds_PYCJOC_R14783_14576		300	0.563333	0.43	0.493321	-1.0466	14.8189	0.324516	0
lcl|VWYP01009990.1_cds_NXR74575.1_4147	Mrps16	327	0.745399	0.990741	2.72784	2.24258	13.2465	0.324079	0
lcl|VWYP01024138.1_cds_NXR80186.1_10404	Jtb	300	0.676667	0.9	1.88428	1.71031	15.359	0.323844	0
lcl|VWYP01004452.1_cds_NXR72554.1_1845	Ifn_0	567	0.650794	0.851852	1.56674	1.42789	15.552	0.323686	0
lcl|VWYP01005993.1_cds_NXR73106.1_2481	Sbspon_1	327	0.737003	0.862385	2.62479	1.48967	14.0896	0.32322	0
lcl|VWYP01004632.1_cds_NXR72669.1_1973	Smp_0	432	0.740741	0.888889	2.67067	1.64514	12.8698	0.322895	0
lcl|VWYP01018033.1_cds_NXR77864.1_7786	Acr_5	360	0.736111	0.9	2.61384	1.71031	12.2591	0.32275	0
lcl|VWYP01016235.1_cds_NXR77025.1_6845	Fcrl2_1	309	0.694805	0.745098	2.10689	0.801693	10.8506	0.322435	0
lcl|VWYP01014837.1_cds_NXR76474.1_6239	Isl2	396	0.734848	0.969697	2.59834	2.11914	13.8768	0.322337	0
lcl|VWYP01012083.1_cds_NXR75447.1_5102	Grina	327	0.59633	0.990826	0.898297	2.24308	16.0224	0.322128	0
lcl|VWYP01003295.1_cds_NXR72082.1_1319	Dmbt1_0	504	0.720238	0.845238	2.41903	1.38909	11.7499	0.322116	0
lcl|VWYP01000416.1_cds_NXR71070.1_180	Ascl1_0	432	0.740741	0.930556	2.67067	1.88955	11.9307	0.321723	0
lcl|VWYP01010674.1_cds_NXR74923.1_4526	Bola1	318	0.748428	0.867925	2.76501	1.52217	11.7102	0.320615	0
lcl|VWYP01024501.1_cds_NXR80335.1_10556	Fmc1	321	0.735202	0.906542	2.60269	1.74869	13.5699	0.320253	0
lcl|VWYP01012159.1_cds_NXR75462.1_5118	Kcnj9_0	306	0.732026	0.931373	2.56371	1.89434	12.0125	0.319335	0
lcl|VWYP01015578.1_cds_NXR76734.1_6522	Qrfp	372	0.715054	0.822581	2.35541	1.25619	12.3103	0.31873	0
lcl|VWYP01022842.1_cds_NXR79648.1_9778		309	0.66343	0.893204	1.72182	1.67045	15.633	0.318648	0
lcl|VWYP01026971.1_cds_PYCJOC_R15079_11740		390	0.717949	0.792308	2.39094	1.07862	13.8512	0.318336	0
lcl|VWYP01033173.1_cds_PYCJOC_R14619_14512		324	0.574074	0.518519	0.625147	-0.52737	13.4079	0.317587	0
lcl|VWYP01021681.1_cds_NXR79346.1_9436	H2a4_0	387	0.70801	0.992248	2.26896	2.25142	14.4812	0.316706	0
lcl|VWYP01022019.1_cds_NXR79425.1_9530	H2a4_1	387	0.705426	0.984496	2.23724	2.20595	14.4863	0.316444	0
lcl|VWYP01002307.1_cds_NXR71725.1_920	Rdh11	336	0.708333	0.955357	2.27292	2.03503	13.7009	0.316433	0
lcl|VWYP01021681.1_cds_NXR79347.1_9437	H101_0	657	0.645358	0.803653	1.50002	1.14516	17.0728	0.316225	0
lcl|VWYP01015345.1_cds_NXR76695.1_6481	Atp5mc1	315	0.698413	0.885714	2.15117	1.62652	11.6236	0.316131	0
lcl|VWYP01013543.1_cds_NXR75985.1_5695	Aplnr	300	0.706667	0.95	2.25247	2.0036	13.0801	0.315903	0
lcl|VWYP01026233.1_cds_NXR80996.1_11283	H2a4_2	387	0.705426	0.984496	2.23724	2.20595	14.1635	0.315084	0
lcl|VWYP01022842.1_cds_NXR79642.1_9783		309	0.676375	0.932039	1.8807	1.89825	15.3118	0.314893	0
lcl|VWYP01026233.1_cds_NXR80992.1_11290	H101_1	654	0.64526	0.834862	1.49882	1.32823	17.4846	0.314455	0
lcl|VWYP01000008.1_cds_NXR70916.1_4	Colca2	420	0.697619	0.9	2.14143	1.71031	14.5214	0.314311	0
lcl|VWYP01013093.1_cds_NXR75777.1_5458	Nkx26	381	0.721785	0.88189	2.43802	1.60408	13.1089	0.31417	0
lcl|VWYP01026233.1_cds_NXR80993.1_11291	H2a	381	0.705263	0.984127	2.23524	2.20378	14.341	0.312639	0
lcl|VWYP01022842.1_cds_NXR79641.1_9777	H110_0	663	0.650075	0.809955	1.55791	1.18213	16.7445	0.311248	0
lcl|VWYP01006698.1_cds_NXR73256.1_2655	Slc39a7	390	0.707692	0.876923	2.26505	1.57495	13.7285	0.311231	0
lcl|VWYP01000476.1_cds_NXR71117.1_228	Tsc22d4	375	0.744	0.832	2.71067	1.31144	12.6327	0.310346	0
lcl|VWYP01012778.1_cds_NXR75675.1_5348	Znf3_3	318	0.669811	0.943396	1.80014	1.96487	13.6513	0.309883	0
lcl|VWYP01003291.1_cds_NXR72080.1_1315	Sspo_0	303	0.676568	0.782178	1.88307	1.0192	12.917	0.30838	0
lcl|VWYP01024514.1_cds_NXR80370.1_10595	Mfsd6la	417	0.736211	0.884892	2.61507	1.62169	12.376	0.308064	0
lcl|VWYP01027258.1_cds_PYCJOC_R14778_11905		321	0.588785	0.485981	0.805696	-0.718231	15.7496	0.307577	0
lcl|VWYP01018421.1_cds_NXR78015.1_7951	Rbm10	399	0.721805	0.87218	2.43826	1.54713	12.0331	0.305819	0
lcl|VWYP01027675.1_cds_NXR81685.1_12071	Bkj_1	351	0.652422	0.811966	1.58672	1.19393	13.7724	0.304852	0
lcl|VWYP01029107.1_cds_NXR82199.1_12640	Fndc10	402	0.70398	0.910448	2.2195	1.7716	11.018	0.30453	0
lcl|VWYP01019291.1_cds_NXR78376.1_8355	Mrps12	330	0.69697	0.936364	2.13346	1.92362	12.506	0.304198	0
lcl|VWYP01031488.1_cds_NXR83182.1_13751	Trim21	303	0.669967	0.821782	1.80205	1.2515	10.7889	0.303228	0
lcl|VWYP01026436.1_cds_NXR81137.1_11453	Aqp4_1	498	0.748996	0.837349	2.77198	1.34282	13.4112	0.300951	0
lcl|VWYP01027385.1_cds_PYCJOC_R15137_11968		423	0.725768	0.836879	2.4869	1.34006	10.4833	0.299717	0
lcl|VWYP01013431.1_cds_PYCJOC_R09177_5598		309	0.627832	0.582524	1.28492	-0.151931	11.9715	0.29917	0
lcl|VWYP01008883.1_cds_PYCJOC_R07810_3600		426	0.720657	0.816901	2.42418	1.22287	12.7174	0.297714	0
lcl|VWYP01013758.1_cds_NXR76041.1_5740	Hax1	360	0.7	0.841667	2.17065	1.36815	13.7009	0.297617	0
lcl|VWYP01018435.1_cds_NXR78017.1_7954	Npas4_1	513	0.732943	0.830409	2.57496	1.30211	11.5364	0.29677	0
lcl|VWYP01026421.1_cds_PYCJOC_R15028_11448		558	0.715054	0.768817	2.35541	0.940823	13.1942	0.296382	0
lcl|VWYP01021934.1_cds_NXR79388.1_9483	Scn2a_5	303	0.379538	0.366337	-1.76241	-1.42004	11.9829	0.295717	0
lcl|VWYP01002582.1_cds_NXR71785.1_987	Ube2l5	429	0.729604	0.909091	2.53398	1.76364	12.2477	0.295109	0
lcl|VWYP01008569.1_cds_NXR74040.1_3537	Dad1	339	0.646018	0.902655	1.50812	1.72589	13.7829	0.294989	0
lcl|VWYP01034815.1_cds_NXR84481.1_15175	Sbk1_1	747	0.733601	0.895582	2.58304	1.6844	10.5035	0.294808	0
lcl|VWYP01029812.1_cds_PYCJOC_R10423_12999		324	0.345679	0.37037	-2.17797	-1.39638	11.003	0.294642	0
